date,sector_id,length_km,lat,lon,volume_injected,volume_consumed,pressure_avg,flow_night,label
2025-04-27,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,433.23,433.04,2.8,0.93,0
2025-04-28,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,471.59,470.87,2.92,0.85,0
2025-04-29,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,524.29,522.46,3.03,0.84,0
2025-04-30,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,521.68,520.66,2.93,0.9,0
2025-05-01,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,458.63,458.04,3.03,1.0,0
2025-05-02,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,478.01,478.01,2.97,0.76,0
2025-05-03,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,534.65,530.87,3.02,1.08,0
2025-05-04,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,534.56,534.56,2.81,0.99,0
2025-05-05,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,469.93,469.81,3.25,0.94,0
2025-05-06,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,458.19,457.59,3.11,1.23,0
2025-05-07,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,471.07,468.26,2.86,1.18,0
2025-05-08,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,459.56,455.18,2.9,0.83,0
2025-05-09,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,451.74,451.74,3.01,0.68,0
2025-05-10,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,519.03,518.09,2.92,0.9,0
2025-05-11,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,544.78,543.15,2.88,1.07,0
2025-05-12,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,507.82,505.2,3.03,1.23,0
2025-05-13,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,488.64,487.59,3.03,1.08,0
2025-05-14,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,520.44,519.75,3.03,0.79,0
2025-05-15,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,460.51,456.78,3.05,0.64,0
2025-05-16,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,531.42,530.1,3.12,0.75,0
2025-05-17,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,526.99,525.34,3.19,0.93,0
2025-05-18,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,487.59,487.59,2.99,1.1,0
2025-05-19,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,553.42,553.39,3.15,0.92,0
2025-05-20,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,488.75,483.31,2.89,1.14,0
2025-05-21,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,561.66,561.66,3.07,1.14,0
2025-05-22,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,565.69,565.69,2.92,0.55,0
2025-05-23,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,556.07,555.64,2.88,1.05,0
2025-05-24,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,528.72,527.95,3.01,0.66,0
2025-05-25,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,563.69,561.53,3.11,0.59,0
2025-05-26,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,555.97,555.97,3.05,2.16,0
2025-05-27,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,558.24,556.33,3.07,0.91,0
2025-05-28,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,514.85,513.33,2.95,1.02,0
2025-05-29,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,525.58,524.21,2.84,0.86,0
2025-05-30,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,491.94,489.76,2.93,1.2,0
2025-05-31,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,543.75,543.66,2.93,1.64,0
2025-06-01,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,557.3,556.03,2.8,1.06,0
2025-06-02,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,564.81,564.81,2.99,1.15,0
2025-06-03,SECT_001,10.614422733489338,6.837465848419704,-5.323698135955756,526.65,524.92,2.95,0.8,0
